,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,lat,long
399,2004 CAMBRIDGE AVE,10/26/22,"$475,000.00 ",475000,226.9469661,2093,2004,33.6614735,-84.4547337
400,1071 N HIGHLAND AVE NE # #06,6/14/22,"$230,000.00 ",230000,366.2420382,628,1930,33.78390565,-84.35443428
401,100 BLENHEIM PL NE,10/26/22,"$900,000.00 ",900000,304.8780488,2952,1979,33.9735204,-84.3081594
402,265 GRAPEVINE RUN,10/26/22,"$810,000.00 ",810000,210.8825827,3841,1981,33.969955,-84.3231449
403,527 WALNUT WAY # 94,10/26/22,"$306,000.00 ",306000,138.0866426,2216,2018,34.1651555,-83.6911583
404,208 ALLEGRINI DR,10/26/22,"$420,000.00 ",420000,104.607721,4015,2007,33.6739815,-84.6348934
405,6830 RIVER SPRINGS LN NW,10/26/22,"$620,000.00 ",620000,272.4077329,2276,1972,33.9411481,-84.3927848
406,3101 HOWELL MILL RD NW # #127,10/26/22,"$356,000.00 ",356000,295.6810631,1204,1999,33.8403829,-84.4259658
407,832 WILDWOOD RD NE,10/26/22,"$1,825,000.00 ",1825000,477.248954,3824,2013,33.8036636,-84.3605511
408,1284 PIEDMONT AVE NE 9,10/26/22,"$205,000.00 ",205000,320.3125,640,1966,33.79008,-84.375965
409,2665 HAZY HOLLOW RUN,10/26/22,"$650,000.00 ",650000,205.1767677,3168,1985,33.9857697,-84.2858738
410,4366 STONE GATE WAY # 95,10/26/22,"$195,000.00 ",195000,135.4166667,1440,2005,33.640096,-84.493292
411,791 WYLIE ST UNIT,10/26/22,"$329,000.00 ",329000,454.4198895,724,2003,33.7524344,-84.3610006
412,971 SMITH ST SW,10/26/22,"$400,000.00 ",400000,258.0645161,1550,1920,33.7283828,-84.4009841
413,31 SWANN RIDGE,10/26/22,"$1,794,000.00 ",1794000,771.6129032,2325,2015,33.5189233,-84.7319848
414,1280 WEST PEACHTREE ST NW # 2607,10/25/22,"$243,000.00 ",243000,298.8929889,813,1989,33.7893934,-84.388618
415,460 SHADOWOOD CT,10/25/22,"$550,000.00 ",550000,259.9243856,2116,1968,34.0286411,-84.3460065
416,1043 ELDON LN LOT 75,10/25/22,"$360,000.00 ",360000,172.08413,2092,2018,33.5989268,-84.5863233
417,4307 RAINER DR,10/25/22,"$425,000.00 ",425000,152.8227256,2781,2006,33.6379483,-84.5698566
418,5465 CHELSEN WOOD DR,10/25/22,"$1,075,000.00 ",1075000,213.8877835,5026,1985,34.0006309,-84.2020468
419,119 MC GILL PARK AVE,10/25/22,"$260,000.00 ",260000,267.7651905,971,1994,33.7623049,-84.3774093
420,7819 CARNEGIE DR,10/25/22,"$275,000.00 ",275000,180.2096986,1526,2005,33.5438588,-84.5698873
421,4136 BUTTERNUT PL,10/25/22,"$390,000.00 ",390000,138.8394446,2809,2008,33.6436742,-84.6031613
422,1140 WHITESTONE RIDGE,10/25/22,"$260,000.00 ",260000,213.4646962,1218,1997,34.0673794,-84.2511176
423,722 CREEKVIEW LN,10/25/22,"$450,000.00 ",450000,256.5564424,1754,2003,33.6386839,-84.5540041
424,1074 PEACHTREE WALK,10/25/22,"$358,000.00 ",358000,319.9285076,1119,1996,33.783733,-84.3866555
425,2093 DELLWOOD DR NW,10/25/22,"$825,000.00 ",825000,408.0118694,2022,1940,33.8124659,-84.3972592
426,905 BREES CT,10/25/22,"$509,008.00 ",509008,387.9634146,1312,2021,33.7884922,-84.4182994
427,200 RIVER VISTA DR UNIT 211,10/25/22,"$287,000.00 ",287000,337.6470588,850,2010,33.9011253,-84.4399001
428,2848 RIDGEVIEW DR,10/25/22,"$270,000.00 ",270000,136.5015167,1978,2007,33.667624,-84.4922209
429,10855 WILLOW MEADOW CIR,11/23/22,"$367,000.00 ",367000,275.7325319,1331,1987,34.03952592,-84.23819048
430,505 SHERINGHAM CT,10/17/22,"$230,000.00 ",230000,126.9315673,1812,1983,34.0316252,-84.2923301
431,652 WALDO ST SE,10/25/22,"$820,000.00 ",820000,350.7271172,2338,1930,33.7365397,-84.3664429
432,10900 WITTENHAM CLOSE # N1,2/14/22,"$316,600.00 ",316600,231.0948905,1370,1999,34.05092665,-84.26058435
433,1603 QUEEN ANNE CT,10/25/22,"$261,599.00 ",261599,225.5163793,1160,1984,34.0082612,-84.3369177
434,4949 ANTELOPE COVE,10/25/22,"$323,000.00 ",323000,206.6538708,1563,2007,33.6296579,-84.54724
435,370 ELDEN DR NE,10/25/22,"$800,000.00 ",800000,359.7122302,2224,1965,33.8966211,-84.3754588
436,10900 WITTENHAM CLOSE M1,10/31/22,"$321,500.00 ",321500,234.6715328,1370,1999,34.05092665,-84.26058435
437,1890 ENON PINES DR,10/25/22,"$325,000.00 ",325000,154.5411317,2103,1994,33.7017257,-84.5531561
438,560 DUTCH VALLEY RD NE # 201,10/25/22,"$530,000.00 ",530000,325.1533742,1630,2001,33.7930501,-84.369566
439,722 ASHLEY GLEN LN,10/25/22,"$465,000.00 ",465000,258.0466149,1802,1997,34.0031001,-84.2750157
440,1684 SYLVAN RD SW,10/25/22,"$235,000.00 ",235000,183.59375,1280,1945,33.7087411,-84.4179479
441,1695 STANTON RD SW,10/25/22,"$290,000.00 ",290000,335.6481481,864,1949,33.7087149,-84.443994
442,205 LAKE PINES POINTE,10/25/22,"$725,500.00 ",725500,206.8129989,3508,1988,34.0736567,-84.2167517
443,145 FALLEN LEAF CT,10/25/22,"$801,000.00 ",801000,191.902252,4174,1998,34.0734979,-84.2010544
444,7455 ST DAVID ST,10/25/22,"$283,400.00 ",283400,151.7130621,1868,2016,33.5828574,-84.626962
445,6107 PROVIDENCE WAY,10/25/22,"$330,000.00 ",330000,118.705036,2780,2019,34.1076336,-84.3606765
446,325 EAST PACES FERRY RD 2205,10/24/22,"$745,000.00 ",745000,315.6779661,2360,2004,33.8385741,-84.3768476
447,1 BISCAYNE DR NW #107,10/24/22,"$260,000.00 ",260000,317.0731707,820,1997,33.8154891,-84.3927646
448,2763 RAMSGATE NW,10/24/22,"$1,850,000.00 ",1850000,438.8045541,4216,1963,33.8300929,-84.3978027
449,3105 HARTRIDGE DR,10/24/22,"$645,000.00 ",645000,209.1439689,3084,1987,34.011738,-84.2695037
450,6350 OLMADISON PL,10/24/22,"$228,000.00 ",228000,156.1643836,1460,2006,33.5801751,-84.4674843
451,340 WINHERST LN,10/24/22,"$650,000.00 ",650000,210.3559871,3090,1997,34.0334984,-84.168943
452,4207 VILLAGE GREEN DR,10/24/22,"$550,000.00 ",550000,175.4945756,3134,2004,34.0583033,-84.3933842
453,1265 NORTH MORNINGSIDE DR,10/24/22,"$1,300,000.00 ",1300000,541.4410662,2401,1924,33.7895837,-84.3503572
454,344 NORTHWOODS PL,10/24/22,"$485,000.00 ",485000,291.4663462,1664,1958,33.6579209,-84.3981622
455,2976 PARK ST,10/24/22,"$304,000.00 ",304000,260.2739726,1168,1940,33.6740963,-84.4462138
456,985 FINNSBURY DR,10/24/22,"$596,000.00 ",596000,254.8097478,2339,1976,34.0747289,-84.4055913
457,770 OWENS LAKE RD,10/24/22,"$2,310,000.00 ",2310000,370.9055877,6228,2004,34.0995882,-84.3490495
458,7159 RIGEL BEND,10/24/22,"$285,000.00 ",285000,197.9166667,1440,2007,33.6916861,-84.6193157
459,3009 CAMDEN WAY,10/24/22,"$277,000.00 ",277000,226.6775777,1222,1987,34.0638614,-84.2485206
460,1420 RIDGEFIELD DR,10/24/22,"$700,000.00 ",700000,286.6502867,2442,1976,34.0216041,-84.3924154
461,200 FORREST ALY,10/24/22,"$912,500.00 ",912500,318.8329839,2862,2014,34.0224504,-84.3568386
462,331 CARPENTER DR NE 1,10/24/22,"$415,000.00 ",415000,300.7246377,1380,2002,33.9151075,-84.3754604
463,211 COLONIAL HOMES DR NW,10/24/22,"$365,000.00 ",365000,256.5003514,1423,1997,33.8144898,-84.3941498
464,299 GLENCASTLE DR,10/24/22,"$1,350,000.00 ",1350000,276.0171744,4891,1978,33.9015519,-84.397537
465,702 MILL WALK NW,10/24/22,"$800,000.00 ",800000,181.900864,4398,1974,33.8427135,-84.4107404
466,498 WOODS DR NW,10/24/22,"$299,500.00 ",299500,189.556962,1580,1955,33.7686869,-84.4690632
467,3794 LAKE HAVEN WAY,10/24/22,"$569,000.00 ",569000,150.648663,3777,2015,33.6540733,-84.5303489
468,750 DALRYMPLE RD # 5 J,10/24/22,"$261,000.00 ",261000,174.8158071,1493,1967,33.956156,-84.361561
469,21 LAKE VILLA DR,10/24/22,"$625,000.00 ",625000,269.2804826,2321,1985,33.9862952,-84.2893439
470,6358 OLMADISON PL,10/24/22,"$220,000.00 ",220000,150.6849315,1460,2006,33.580098,-84.4670259
471,1119 WADE ST NE,10/24/22,"$587,000.00 ",587000,358.801956,1636,1930,33.7560347,-84.3509707
472,818 GREENWOOD AVE NE 208,10/18/22,"$265,000.00 ",265000,449.9151104,589,1960,33.7768689,-84.3606757
473,870 INMAN VILLAGE PKWY NE LOT 403,10/24/22,"$355,000.00 ",355000,481.6824966,737,2007,33.7611613,-84.3607788
474,1640 SETTINDOWN DR,10/24/22,"$710,000.00 ",710000,173.2975348,4097,2002,34.1038297,-84.4158304
475,517 TENSAS TRC,10/24/22,"$805,000.00 ",805000,239.2984542,3364,2007,34.0904458,-84.345831
476,3003 LAKE POINTE CIR,10/24/22,"$270,000.00 ",270000,243.2432432,1110,1984,34.005813,-84.391962
477,155 FARNWORTH LN,10/24/22,"$490,000.00 ",490000,247.4747475,1980,1994,34.0258782,-84.336502
478,18 IVY PKWY NE,10/24/22,"$410,000.00 ",410000,228.0311457,1798,1972,33.8574075,-84.3784054
479,2300 HAVENRIDGE DR NW,10/24/22,"$1,600,000.00 ",1600000,561.4035088,2850,1946,33.8179492,-84.400102
480,1956 GREYSTONE RD NW,10/24/22,"$809,000.00 ",809000,483.2735962,1674,1940,33.8087656,-84.403652
481,1205 REGENCY CENTER DR,10/24/22,"$500,000.00 ",500000,184.501845,2710,1997,33.7311006,-84.5321509
482,7395 WRIGHT DR,10/24/22,"$400,000.00 ",400000,155.159038,2578,2005,33.6554935,-84.6289858
483,2030 SANDGATE CIR,10/24/22,"$235,000.00 ",235000,168.8218391,1392,1973,33.5895269,-84.4595776
484,1685 SOUTH ALVARADO TER,10/24/22,"$287,500.00 ",287500,244.2650807,1177,1948,33.7306098,-84.4432492
485,2045 WILLSHIRE GLEN,10/24/22,"$915,000.00 ",915000,308.4962913,2966,2003,34.0744226,-84.3015815
486,3338 PEACHTREE RD NE # 2905,10/21/22,"$655,000.00 ",655000,349.1471215,1876,2004,33.8487893,-84.3710648
487,1101 COLLIER RD # A 7,2/16/22,"$225,000.00 ",225000,220.5882353,1020,1970,33.81091325,-84.42222625
488,259 BEVERLY RD NE,10/19/22,"$1,200,000.00 ",1200000,693.2409012,1731,1947,33.7964507,-84.3783984
489,1608 DREW DR,10/21/22,"$620,000.00 ",620000,227.6064611,2724,2013,33.7875399,-84.4443159
490,2190 BENIDORM CT,10/21/22,"$350,000.00 ",350000,110.2709515,3174,2006,33.571818,-84.4642519
491,1092 SHELBY PL SE,10/21/22,"$635,000.00 ",635000,313.1163708,2028,2004,33.7236662,-84.3518726
492,1131 BRIARCLIFF PL NE,10/21/22,"$795,000.00 ",795000,400.7056452,1984,1930,33.7769334,-84.35032
493,1974 BROWNS MILL RD SE,10/21/22,"$330,000.00 ",330000,138.5972281,2381,1940,33.7001103,-84.3749661
494,478 BROYLES ST SE,10/21/22,"$515,000.00 ",515000,442.0600858,1165,1920,33.7416626,-84.3775421
495,500 INKBERRY DR,10/21/22,"$215,000.00 ",215000,151.1954993,1422,2005,33.6276209,-84.5488994
496,4361 BEN HILL RD,10/21/22,"$290,000.00 ",290000,168.4088269,1722,2003,33.6336024,-84.5112183
497,10355 WATERS RD,10/21/22,"$640,000.00 ",640000,440.7713499,1452,1964,34.0338128,-84.2507836
498,9820 ALGER TRC,10/21/22,"$380,000.00 ",380000,231.8486882,1639,2005,34.0208774,-84.1960298
499,180 THOMPSON PL,10/21/22,"$570,000.00 ",570000,314.2227122,1814,1966,34.030575,-84.3674921
500,3418 WASHINGTON RD,10/21/22,"$794,000.00 ",794000,241.1907655,3292,1897,33.6616637,-84.4697868
501,1165 MC LYNN AVE NE,10/21/22,"$2,800,000.00 ",2800000,887.1989861,3156,2019,33.7884799,-84.3490084
502,4590 CLUB TER NE,10/21/22,"$755,000.00 ",755000,452.9094181,1667,1962,33.8800829,-84.3501176
503,1159 GLENRIDGE PL,10/21/22,"$350,000.00 ",350000,285.9477124,1224,2004,33.902763,-84.350392
504,6646 STERLING DR,10/21/22,"$729,500.00 ",729500,389.6901709,1872,2020,33.935475,-84.365901
505,697 SHERWOOD RD NE,10/21/22,"$1,300,000.00 ",1300000,457.424349,2842,1928,33.7981017,-84.3644631
506,688 COOLEDGE AVE NE,10/21/22,"$1,760,500.00 ",1760500,474.2726293,3712,1930,33.7828556,-84.3649047
507,620 PEACHTREE ST NE # 507,10/21/22,"$203,000.00 ",203000,258.2697201,786,1965,33.7714984,-84.386713
508,496 SHANNON DR SW,10/21/22,"$470,000.00 ",470000,306.3885267,1534,1940,33.7165569,-84.4039333
509,530 KINGSPORT DR,10/21/22,"$550,000.00 ",550000,221.5954875,2482,1998,34.0735712,-84.3268102
510,5080 SPALDING DR,10/21/22,"$715,000.00 ",715000,287.6106195,2486,1978,33.9639434,-84.2682284
511,4500 SHANNON BLVD,10/21/22,"$70,000.00 ",70000,97.22222222,720,1974,33.5805624,-84.5358002
512,6354 SHANNON PKY # 2 C,10/21/22,"$100,000.00 ",100000,91.57509158,1092,1974,33.5816651,-84.5382352
513,4485 PARK BROOKE TRC,10/21/22,"$760,000.00 ",760000,248.9354733,3053,1997,34.0554974,-84.2395334
514,250 SPRING CREEK RD,10/21/22,"$775,000.00 ",775000,279.1786744,2776,1975,34.0498828,-84.3894596
515,210 BROADMEADOW COVE,10/21/22,"$665,000.00 ",665000,265.045835,2509,1983,34.0365429,-84.3742064
516,1101 COLLIER RD # D 3,5/5/22,"$260,000.00 ",260000,254.9019608,1020,1970,33.81091325,-84.42222625
517,1835 WOODLAND HILLS AVE NW,10/21/22,"$599,900.00 ",599900,425.4609929,1410,1950,33.8051932,-84.4191336
518,4037 PRINCETON LAKES PASS,10/21/22,"$325,000.00 ",325000,163.1526104,1992,2016,33.6583912,-84.5172272
519,750 DALRYMPLE RD # 4 M,10/21/22,"$255,000.00 ",255000,140.7284768,1812,1967,33.956081,-84.3607823
520,790 SUDBURY RD,10/21/22,"$555,000.00 ",555000,215.5339806,2575,1978,33.9527871,-84.360469
521,795 HAMMOND DR #1707,10/21/22,"$295,000.00 ",295000,266.7269439,1106,1990,33.9174763,-84.3595063
522,642 IRWIN ST NE,10/21/22,"$686,000.00 ",686000,393.8002296,1742,2005,33.757709,-84.3658392
523,AMAL DR LOT 309,10/21/22,"$154,000.00 ",154000,191.3043478,805,2006,33.706085,-84.397082
524,1412 BEATIE AVE SW,10/21/22,"$255,000.00 ",255000,205.811138,1239,1910,33.7163542,-84.4106392
525,950 WHITE ST SW,10/21/22,"$455,000.00 ",455000,285.0877193,1596,2005,33.7320096,-84.4189112
526,1580 LANGSTON AVE SW,10/21/22,"$250,000.00 ",250000,330.6878307,756,1935,33.7118278,-84.4231956
527,2085 CAMBRIDGE AVE,10/21/22,"$1,450,000.00 ",1450000,236.0410223,6143,2006,33.6619325,-84.4574264
528,1205 WYNRIDGE CROSSING,10/21/22,"$675,000.00 ",675000,238.1792519,2834,1996,34.0980618,-84.221568
529,13120 ADDISON RD,10/21/22,"$770,000.00 ",770000,215.4448797,3574,1995,34.1035975,-84.4049962
530,5067 VILLAGE GREEN WAY,10/21/22,"$265,000.00 ",265000,194.8529412,1360,1985,34.07678,-84.2827153
531,1540 CHEVRON DR,10/21/22,"$975,000.00 ",975000,184.1012085,5296,1974,33.970903,-84.3163397
532,9400 ROBERTS DR # 2 O,10/21/22,"$131,500.00 ",131500,147.5869809,891,1978,34.0050827,-84.3386508
533,660 PARKWAY RD,10/21/22,"$200,000.00 ",200000,129.8701299,1540,2004,33.566182,-84.564516
534,10890 KIMBALL CREST DR,10/21/22,"$600,000.00 ",600000,254.5608825,2357,1999,34.0465086,-84.257038
535,440 PARK CREEK DR,10/21/22,"$725,000.00 ",725000,202.5139665,3580,1997,34.0636868,-84.2376967
536,795 MILTON OAKS DR,10/21/22,"$590,000.00 ",590000,209.145693,2821,1999,34.0586731,-84.2243166
537,11330 RIDGE HILL DR,10/21/22,"$442,500.00 ",442500,198.5195155,2229,1986,34.0568207,-84.2234953
538,5080 FIRELIGHT LN,10/21/22,"$500,000.00 ",500000,285.0627138,1754,1993,34.0467739,-84.2094759
539,415 LAKE MANOR TRC,10/21/22,"$770,000.00 ",770000,210.3250478,3661,2001,34.0365789,-84.1937438
540,5625 TENBURY WAY,10/21/22,"$750,000.00 ",750000,237.3417722,3160,1992,34.0297993,-84.193363
541,855 MILLWORK CIR,10/21/22,"$450,000.00 ",450000,195.6521739,2300,2008,34.0500915,-84.1806786
542,105 PRESTON HOLLOW LN,10/21/22,"$1,295,000.00 ",1295000,308.9954665,4191,1997,34.0357899,-84.175206
543,1285 THOMAS CIR,10/21/22,"$1,351,000.00 ",1351000,445.1400329,3035,2018,34.0338622,-84.3663117
544,3324 PEACHTREE RD NE # 1411,10/21/22,"$310,000.00 ",310000,388.4711779,798,2005,33.8458542,-84.3694229
545,3026 EAMONT TER,10/21/22,"$945,000.00 ",945000,357.9545455,2640,2017,33.9141607,-84.3857237
546,4300 ROSWELL RD NE 7,10/21/22,"$195,000.00 ",195000,154.7619048,1260,1961,33.8725321,-84.3820757
547,222 TWELFTH ST NE UNIT 907,10/21/22,"$748,500.00 ",748500,433.4105385,1727,2008,33.7846303,-84.3798237
548,6240 RIVERCLIFFE DR NW,10/21/22,"$1,400,000.00 ",1400000,574.7126437,2436,1966,33.9256851,-84.4005711
549,782 NEHEMIAH LN,10/21/22,"$225,000.00 ",225000,140.625,1600,2004,33.741773,-84.506495
550,1706 WOODCLIFF DR NE,10/21/22,"$282,500.00 ",282500,193.0963773,1463,1982,33.977659,-84.3566455
551,700 PARK REGENCY PL # 1003,10/21/22,"$547,500.00 ",547500,321.4914856,1703,2001,33.8545714,-84.364802
552,750 SHERWOOD RD NE,10/21/22,"$1,275,000.00 ",1275000,499.0215264,2555,1945,33.7982778,-84.3626047
553,811 VIRGINIA CIR NE,10/21/22,"$1,100,000.00 ",1100000,654.7619048,1680,1930,33.7806769,-84.3608145
554,215 CHADS FORD WAY,10/21/22,"$250,000.00 ",250000,201.6129032,1240,1985,34.0275933,-84.3218385
555,64 WALTHALL ST NE,10/21/22,"$986,249.00 ",986249,1053.684829,936,1945,33.7552271,-84.3525958
556,22 AIRLINE ST NE UNIT 207,10/21/22,"$479,000.00 ",479000,408.7030717,1172,2021,33.7549384,-84.3671817
557,585 EAST AVE NE,10/21/22,"$538,350.00 ",538350,250.3953488,2150,1920,33.7629863,-84.3680272
558,369 ASHWOOD AVE SW,10/21/22,"$220,000.00 ",220000,244.4444444,900,1958,33.7053955,-84.400555
559,1311 EGAN WAY,10/21/22,"$460,000.00 ",460000,226.1553589,2034,2006,33.6666865,-84.433165
560,12070 HAMILTON RD,10/21/22,"$570,000.00 ",570000,233.5108562,2441,2008,33.5290633,-84.7845465
561,3206 NORTH WOOD VALLEY RD,10/20/22,"$1,700,000.00 ",1700000,389.4616266,4365,1951,33.8424812,-84.4130088
562,2840 ROXBURGH DR,10/20/22,"$656,500.00 ",656500,277.9424217,2362,1980,34.0331043,-84.2765376
563,5320 NORTHWATER WAY,10/20/22,"$675,000.00 ",675000,204.8558422,3295,2000,34.0100579,-84.2039834
564,485 ROSWELL FARMS RD,10/20/22,"$400,000.00 ",400000,280.8988764,1424,1984,34.0188635,-84.3670609
565,1124 BERKSHIRE RD NE,10/20/22,"$1,445,000.00 ",1445000,363.6134877,3974,1939,33.7987265,-84.3500559
566,28 MOUNT VERNON CIR,10/20/22,"$450,000.00 ",450000,257.1428571,1750,1985,33.9364367,-84.350634
567,730 STARLIGHT LN NE,10/20/22,"$925,000.00 ",925000,320.7350902,2884,1960,33.8796503,-84.3626908
568,3046 PEACHTREE DR NE,10/20/22,"$705,000.00 ",705000,342.5655977,2058,1940,33.8380315,-84.3676127
569,24 DANIEL ST SE # 13,10/20/22,"$199,895.00 ",199895,356.9553571,560,1961,33.7537391,-84.3708391
570,474 WOODROW AVE,10/20/22,"$180,000.00 ",180000,178.39445,1009,1950,33.6680099,-84.4023317
571,HICKORY ST,10/20/22,"$545,000.00 ",545000,356.2091503,1530,1996,34.0813388,-84.41203
572,200 ATLANTA PROVIDENCE CT,10/20/22,"$1,300,000.00 ",1300000,290.0490852,4482,1999,34.1187377,-84.3473404
573,3315 LATHENVIEW CT,10/20/22,"$395,000.00 ",395000,279.7450425,1412,2002,34.1015828,-84.2620199
574,225 KINGSTON CROSSING CT,10/20/22,"$515,000.00 ",515000,148.8439306,3460,1987,34.0115255,-84.2070051
575,405 CHIPPENHAM CT,10/20/22,"$435,000.00 ",435000,223.7654321,1944,1998,34.061227,-84.1901169
576,706 MILLPORT POINT,10/20/22,"$1,150,000.00 ",1150000,183.7647811,6258,2007,34.0205538,-84.1831986
577,4840 CAROL LN,10/20/22,"$1,650,000.00 ",1650000,289.9824253,5690,2005,33.8873024,-84.4065353
578,732 ANTONE ST NW,10/20/22,"$440,000.00 ",440000,404.4117647,1088,1949,33.7975571,-84.4125591
579,1150 COLLIER RD NW # 20A,10/20/22,"$250,000.00 ",250000,232.9916123,1073,1971,33.809902,-84.4240512
580,1700 ZADIE ST NW,10/20/22,"$545,500.00 ",545500,266.8786693,2044,2005,33.8024858,-84.4442835
581,2724 LOGHAVEN DR NW,10/20/22,"$190,000.00 ",190000,139.6032329,1361,1958,33.7600326,-84.4770231
582,2700 PINE TREE RD # 1203,10/20/22,"$230,000.00 ",230000,293.3673469,784,2000,33.8281148,-84.3583137
583,2253 JERNIGAN DR SE,10/20/22,"$300,000.00 ",300000,330.7607497,907,1950,33.692697,-84.3727897
584,1367 MC CLELLAND AVE,10/20/22,"$300,000.00 ",300000,229.8850575,1305,1924,33.6987971,-84.4335342
585,2440 LAUREL CIR,10/20/22,"$245,000.00 ",245000,173.3899505,1413,2002,33.757398,-84.4718231
586,5865 VERNIER DR,10/20/22,"$245,000.00 ",245000,208.5106383,1175,1978,33.5969794,-84.509498
587,226 BOLLING RD NE,10/20/22,"$1,122,000.00 ",1122000,380.3389831,2950,1939,33.8298434,-84.3799336
588,2427 SAGAMORE DR NW,10/20/22,"$1,940,000.00 ",1940000,441.9134396,4390,1930,33.8211347,-84.406248
589,1020 CAMELOT DR,10/20/22,"$60,000.00 ",60000,41.40786749,1449,2017,33.6021523,-84.4748076
590,1101 COLLIER RD # D 6,6/10/22,"$287,500.00 ",287500,281.8627451,1020,1970,33.81091325,-84.42222625
591,58 CANTON ST UNIT 210,10/20/22,"$850,000.00 ",850000,430.3797468,1975,2016,34.0769761,-84.2971408
592,2958 OAKSIDE CIR,10/20/22,"$405,000.00 ",405000,238.2352941,1700,2003,34.1086243,-84.2715066
593,126 EAST WESLEY RD NE,10/19/22,"$850,000.00 ",850000,361.7021277,2350,1929,33.8289733,-84.383343
594,2380 HOWELL MILL RD NW,10/19/22,"$715,000.00 ",715000,427.1206691,1674,1953,33.821038,-84.4164273
595,1294 HANOVER WEST DR NW,10/19/22,"$1,019,000.00 ",1019000,320.8438287,3176,1960,33.8218152,-84.4299651
596,121 TEAL CT,10/19/22,"$251,500.00 ",251500,209.5833333,1200,1984,34.0099149,-84.3162986
597,460 ANSLEY DR,10/19/22,"$350,000.00 ",350000,162.037037,2160,1979,34.0229919,-84.3041909
598,3059 REBECCA DR SW,10/19/22,"$279,000.00 ",279000,197.1731449,1415,1959,33.7446713,-84.4878227
599,700 PARK REGENCY PL 1704,10/19/22,"$484,030.00 ",484030,288.1130952,1680,2001,33.8546314,-84.3650175
600,1914 WILDWOOD PL NE,10/19/22,"$1,147,000.00 ",1147000,683.5518474,1678,1958,33.8069962,-84.363
601,13470 PROVIDENCE LAKE DR,10/19/22,"$950,000.00 ",950000,205.9397355,4613,1990,34.1094136,-84.37049
602,517 MOSSYCUP DR,10/19/22,"$415,900.00 ",415900,131.0746927,3173,2015,33.6316419,-84.6210741
603,3055 POPPY LN,10/19/22,"$550,000.00 ",550000,277.7777778,1980,2021,34.0434709,-84.3441195
604,30 ROANOKE AVE NE,10/19/22,"$1,335,000.00 ",1335000,486.516035,2744,2005,33.8193732,-84.383953
605,1101 COLLIER RD # E 2,9/7/22,"$260,000.00 ",260000,254.9019608,1020,1970,33.81091325,-84.42222625
606,4986 LONG ISLAND DR,10/19/22,"$2,750,000.00 ",2750000,466.3388163,5897,2008,33.8899364,-84.3903833
607,5515 WHITNER DR NW,10/19/22,"$786,000.00 ",786000,205.2219321,3830,1971,33.9054001,-84.4039587
608,1668 HABERSHAL DR NW LOT 28,10/19/22,"$509,000.00 ",509000,252.9821074,2012,2007,33.7898799,-84.4454993
609,5371 LAKEROCK DR,10/19/22,"$460,600.00 ",460600,127.7315585,3606,2004,33.7159164,-84.5639628
610,712 CATHERINE ST SW,10/19/22,"$370,000.00 ",370000,343.866171,1076,1930,33.7257249,-84.4108747
611,185 FIELDSTONE EDGE,10/19/22,"$550,000.00 ",550000,173.8305942,3164,1993,34.0925879,-84.2083229
612,3107 VILLAGE GREEN DR # 3100,10/19/22,"$475,000.00 ",475000,195.9570957,2424,2001,34.0596772,-84.3938754
613,4609 VILLAGE GREEN DR,10/19/22,"$505,000.00 ",505000,258.974359,1950,2002,34.058301,-84.3960199
614,1150 COLLIER RD NW # 03O,10/19/22,"$287,000.00 ",287000,226.6982622,1266,1971,33.809902,-84.4240512
615,2236 MELANTE DR NE,10/19/22,"$769,900.00 ",769900,382.0843672,2015,1950,33.8163992,-84.3544791
616,50 DEVONSHIRE DR,10/19/22,"$373,000.00 ",373000,273.8619677,1362,1997,33.9989528,-84.2762239
617,6474 ROCKAWAY RD LOT 1,10/19/22,"$208,000.00 ",208000,145.2513966,1432,2006,33.5807249,-84.4733952
618,110 CATLYN CT,10/19/22,"$235,000.00 ",235000,149.2063492,1575,2006,33.5555169,-84.4657898
619,1376 BENTEEN PARK DR,10/19/22,"$555,000.00 ",555000,204.3446244,2716,2005,33.714372,-84.3612083
620,1816 SYLVAN RD SW,10/19/22,"$240,000.00 ",240000,150.8485229,1591,1950,33.705322,-84.4179436
621,2424 HILLCREST DR,10/19/22,"$230,000.00 ",230000,247.5780409,929,1945,33.6890612,-84.4513762
622,859 BEECHER CT SW,10/19/22,"$385,000.00 ",385000,305.7982526,1259,1957,33.7321662,-84.4485875
623,374 ILLINOIS AVE NW,10/19/22,"$399,900.00 ",399900,283.2152975,1412,1959,33.7654404,-84.4522268
624,1155 BIRCHWOOD LN,10/19/22,"$415,000.00 ",415000,300.0723066,1383,1992,34.0747095,-84.3548416
625,7836 BELL TOWER LN,10/19/22,"$335,000.00 ",335000,157.203191,2131,2010,33.5462521,-84.5187104
626,395 PHARR RD NE # 206,10/18/22,"$155,000.00 ",155000,206.6666667,750,1964,33.8366583,-84.3751919
627,1101 COLLIER RD # E 5,6/24/22,"$235,000.00 ",235000,230.3921569,1020,1970,33.81091325,-84.42222625
628,269 GOODSON WAY NW,10/18/22,"$389,900.00 ",389900,288.8148148,1350,2012,33.8035213,-84.4006692
629,2555 FLAT SHOALS RD 3303,10/18/22,"$237,000.00 ",237000,168.3238636,1408,2006,33.5911503,-84.4710771
630,965 ORMEWOOD TER SE,10/18/22,"$605,000.00 ",605000,540.1785714,1120,1949,33.7279664,-84.3586617
